comment,likes,date
"Correction:
5:21 — We show specs for the RTX 5080's GB203 die instead of the slightly different version of that die in the RTX 5070 Ti. Additionally, the specs shown for the GB205 die are placeholder, estimated specs from TechPowerUp. We're working to get this fixed. However, our point being made in the voiceover remains true.

Learn more about about ThreatLocker can help protect your business at https://www.threatlocker.com/ltt",1.3천,1년 전(수정됨)
why does LINUS looks like MR BEAN in the thumbnail,0,4일 전
"I just bought the 5070 and I am very pleased, RRD2 - 4k Ultra Settings 60-70 FPS...",0,8일 전
Crazy that 5070 needs MORE than FG x2 to beat the 4090 in some games,0,13일 전
People be hating on anything nowadays 🫩🥀,0,13일 전
"I just got a 5070 ti, I couldnt believe how big of a difference the ""ti"" is",0,13일 전
I'll keep my 4090 over even a 5090    unless of course you don't mind trading real frames for fake ones,0,2주 전
linus give me a 3060ti uwu im kidding haha im funny,0,2주 전
the next serie will be the masterpiece guys (every year i say this),0,2주 전
"Proud owner of a 5070 right here. I am a gamer, not an enthusiast. This card definitely serves its purpose. I ensure I get 60 fps with dlss on and from there I take it to an easy 120 or 150 fps at really good input latency using mfg. If you are still on the fence about this, go for it",1,2주 전(수정됨)
So basically don’t waste your money get the card from last gen when the next gen comes out cause they’re not much different,0,2주 전
It wasn't impressive on it's launch date as it seems to be now and DLSS 5 on the horizon.,0,3주 전
"I'm editing fhd & 4k video on pr & ae. 
I'm crazy disappointed with this card .",0,1개월 전
"I got one yesterday for 450 Linus and I’m satisfied, got rid of my 3060 12gb and I seen a large increase in performance.",1,1개월 전
"I must be really blind after months of commenting where is adblock t-shirt, I finally see it on your site... I will shut up now",0,1개월 전
so switching from a 1650 to a 5070 is good or nah? (completely new build btw not upgrading the same build),0,1개월 전
what a great world we live in. Linus shows us how to be real *** * ** ********.,0,1개월 전
"I bought a 5070 about a month after launch. I regret not just going for the 5070 Ti instead. I was intending to use it until the Super series refresh, but yeah... AI happened.",0,1개월 전
"I always wonder why would any company would make such statements, when they damn well knew people will test the sh*t out of their products and it will come to light that they lied. What's the point?",1,2개월 전
"5060Ti (16gig) is better. also i love AI (as much as i love tesla, with ze whole heart)",0,2개월 전
Fake Frames real Flames,6,1년 전
I love your video's thumbnail so much i may just make it a background LOL,3,1년 전
All I really took away from this was that hoody costs $150.  Linus is bending people over worse than Nvidia.,2,1년 전
@lok777  It's a collab hoody? What do you expect?,0,1년 전
"Ai ""hallucinations"" in my videogames.... Nah not interested.",2,1년 전
"It’s not just the ROPs. The 5070 Ti has 8,960 SUs. The whole card is wrong.",1,1년 전
gee if youtube had a feature we're you overlay text on the screen if you wanted to make a correction that would be helpful,1,1년 전
 @jaxv3r602  I love how gamers nexus says its impossible to do that,0,1년 전
"I wouldn't worry about it Linus. NVidia don't know their own specs, so not sure how anyone else is supposed to....",1,1년 전
I saw Luke at ZTW,0,1년 전
The merchandizes are too expensive. Kinda like apple product TBH!,0,1년 전
"OMG Linus in a suit, I had to click this thumbnail to see if it was clickbait! :P",0,1년 전
Where's the comparison against 4070? But 9070 XT compete against the 5070 Ti.,0,1년 전(수정됨)
"That ROP mistake, it's probably not a mistake ;)",0,1년 전(수정됨)
